"","ID","date","beepo","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"1","1",2014-03-21,1,6,-1,0,0.00667612442202605,2875.8180000782,0,0,400.609,173.58,0,31.348,0,109.925,11.036,362.536,0,0,281.615,0
"2","1",2014-03-21,2,6,0,0,0.0522401433691756,5578.28799986839,0,0,691.08,2491.146,573.885,18.196,0,62.281,106.977,1367.809,76.315,0,70.217,0
"3","1",2014-03-21,3,7,1,1,0.613351254480287,4130.25500011444,4,0,875.727,791.674,117.484,0,0,0,2.043,1822.974,839.13,0,102.568,0
"4","1",2014-03-21,4,NA,NA,NA,0.208626540046913,2296.26900005341,1,0,129.779,1167.421,278.943,0,0,0,10.111,564.283,0,0,65.431,0
"5","1",2014-03-21,5,6,0.5,0,0.128468000171073,3086.3140001297,1,0,1010.189,1657.069,37.144,0,0,0,109.584,254.069,0,0,78.923,0
"6","1",2014-03-22,1,7,1,1,0.105664600550964,136.423000097275,0,0,22.432,190.657,0,0,0,0,20.321,14.042,0,0,0,0
"7","1",2014-03-22,2,7,1,1,0.328578154425612,1289.36200022697,0,0,132.822,886.44,0,21.076,0,0,8.023,180.394,37.305,0,23.092,0
"8","1",2014-03-22,3,7,1,1,0.332633053221288,1525.17999958992,0,0,273.741,1286.108,0,0,0,0,10.116,174.211,0,0,30.096,0
"9","1",2014-03-22,4,6,-1,NA,0.357879140356708,986.626999616623,3,1,206.869,620.015,93.324,0,0,0,45.632,20.302,0,0,0,0
"10","1",2014-03-22,5,5,1,-1,0.103384687208217,2204.56900000572,0,0,95.565,1979.698,0,0,0,0,14.051,50.683,0,0,64.433,0
"11","1",2014-03-23,1,NA,NA,NA,0.0798182316404823,2651.38500094414,0,0,151.18,1861.179,0,43.403,0,0,32.219,533.243,0,0,30.086,0
"12","1",2014-03-23,2,7,-0.5,1,0.0310580372499877,30.5889999866485,0,0,117.692,274.379,0,0,0,0,12.04,41.311,0,0,0,0
"13","1",2014-03-23,3,8,1,1,0.218576618256888,2276.76399993896,0,0,261.738,1989.821,0,0,0,0,13.243,12.028,0,0,0,0
"14","1",2014-03-23,4,NA,NA,NA,0.0744829693115272,741.454000949859,0,0,181.345,354.724,4.028,0,0,0,7.288,163.371,0,0,0,30.386
"15","1",2014-03-23,5,6,0.5,0.5,0.283163645352939,1073.63999962807,0,0,574.291,757.216,90.318,0,0,0,8.033,150.886,0,0,0,0
"16","1",2014-03-24,1,6,1,0,0.0182278346121057,5324.5100004673,0,0,271.662,2982.39,970.93,0,0,0,11.039,1081.964,0,0,0,0
"17","1",2014-03-24,2,6,2,0,0.0844202638320287,4298.45399999619,0,0,186.009,2859.521,0,15.045,0,3.01,25.332,1040.28,0,0,168.668,0
"18","1",2014-03-24,3,6,2,0,0.258409450736817,907.88900065422,1,0,81.726,193.515,0,0,0,0,9.079,193.561,419.805,0,10.064,0
"19","1",2014-03-24,4,5,-1,-1,0.151260504201681,1742.18299937248,7,0,256.355,1320.211,6.041,19.061,0,0,9.022,131.254,0,0,0,0
"20","1",2014-03-24,5,7,0,1,0.064686891705835,2774.31500005722,2,0,71.204,1914.992,0,0,0,0,12.086,776.567,0,0,0,0
"21","1",2014-03-25,1,6,1,0,0.0301464782841221,12490.5639996529,0,0,580.995,6902.701,170.513,0,0,0,49.202,1596.713,0,0,148.462,0
