"","date","ID","mood","arousal","valence","activity","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"1",2014-03-21,"1",6.2,0.2,0.2,0.139764502655573,6,0,3107.384,6280.89,1007.456,49.544,0,172.206,239.751,4371.671,915.445,0,598.754,0
"2",2014-03-21,"2",7.5,-0.75,0.75,0.308333122032724,10,1,2366.176,2857.378,459.604,0,0,0,37.944,425.26,442.296,0,0,0
"3",2014-03-21,"3",9,1,2,NA,5,2,168.055,1798.627,3204.521,0,0,10.046,543.588,0,0,0,0,0
"4",2014-03-21,"5",7.25,0,1,0.0499043783010903,2,3,394.619,2369.936,596.666,0,0,0,53.848,0,0,0,0,0
"5",2014-03-21,"6",NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6",2014-03-21,"7",7,0.333333333333333,1,NA,0,0,915.389,3941.176,793.182,0,0,0,90.276,1917.887,164.604,0,31.218,0
"7",2014-03-21,"8",6.6,-0.4,0.6,0.00894230236465268,0,4,215.864,2477.42,0,0,0,0,52.181,1025.091,0,0,48.316,0
"8",2014-03-21,"9",7,0,1,0,3,1,42.494,1240.335,1580.827,0,0,2.113,216.908,90.001,0,0,2.02,0
"9",2014-03-21,"12",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2014-03-21,"13",6.4,0.6,0.6,0.083556054848916,0,2,143.122,14967.988,1083.631,0,0,0,109.863,239.568,36.298,0,0,0
"11",2014-03-21,"14",6.4,-0.6,0.4,0.164048750881198,9,0,2791.287,3157.661,214.909,413.512,0,0,3882.674,1448.227,63.638,0,0,0
"12",2014-03-21,"15",7,0.2,0.8,0.0837301587301587,5,0,970.968,262.61,0,0,0,3.01,14.117,0,0,0,0,0
"13",2014-03-21,"16",6.8,1,1,0.0679983655621178,2,0,119.85,124.309,5.041,0,0,0,0,140.612,0,0,0,0
"14",2014-03-21,"17",7.4,0.8,1,0.178391095121124,0,0,19338.296,7226.997,2175.904,0,0,49.206,45.162,2131.91,0,0,0,0
"15",2014-03-21,"19",4.66666666666667,0.666666666666667,0.666666666666667,0.101220016542597,3,0,1992.576,4906.089,0,0,0,0,117.069,5.037,0,0,0,0
"16",2014-03-21,"20",7,0.25,0.25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2014-03-21,"25",NA,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
