"","obs_number","time","ID","date_time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","date","hour","weekday","week_of_year"
"1",8,"09:00:00","1",2014-03-21 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,9,"Friday",12
"2",9,"11:00:00","1",2014-03-21 11:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,11,"Friday",12
"3",10,"15:00:00","1",2014-03-21 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,15,"Friday",12
"4",11,"19:00:00","1",2014-03-21 19:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,19,"Friday",12
"5",12,"21:00:00","1",2014-03-21 21:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,21,"Friday",12
"6",13,"08:00:00","1",2014-03-22 08:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,8,"Saturday",12
"7",14,"12:00:00","1",2014-03-22 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,12,"Saturday",12
"8",15,"15:00:00","1",2014-03-22 15:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,15,"Saturday",12
"9",16,"18:00:00","1",2014-03-22 18:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,18,"Saturday",12
"10",17,"21:00:00","1",2014-03-22 21:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-22,21,"Saturday",12
"11",18,"10:00:00","1",2014-03-23 10:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,10,"Sunday",12
"12",19,"12:00:00","1",2014-03-23 12:00:00,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,12,"Sunday",12
"13",20,"15:00:00","1",2014-03-23 15:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,15,"Sunday",12
"14",21,"19:00:00","1",2014-03-23 19:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,19,"Sunday",12
"15",22,"21:00:00","1",2014-03-23 21:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-23,21,"Sunday",12
"16",23,"09:00:00","1",2014-03-24 09:00:00,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-24,9,"Monday",12
