"","obs_number","time","ID","date_time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","date","hour","weekday","week_of_year","days_since_start","is_inactive","potential_sleep_hour","after_midnight_activity"
"1",16931,"01:00:00","1",2014-03-21 01:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,1,"Friday",12,0,TRUE,TRUE,TRUE
"2",16932,"02:00:00","1",2014-03-21 02:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,2,"Friday",12,0,TRUE,TRUE,TRUE
"3",39903,"02:12:22","1",2014-03-21 02:12:22.811,NA,NA,NA,NA,19.135999917984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,2,"Friday",12,0,FALSE,TRUE,TRUE
"4",1081000,"02:12:22","1",2014-03-21 02:12:22.845,NA,NA,NA,NA,NA,NA,NA,19.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,2,"Friday",12,0,FALSE,TRUE,TRUE
"5",39904,"02:59:55","1",2014-03-21 02:59:55.012,NA,NA,NA,NA,15.2179999351501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,2,"Friday",12,0,FALSE,TRUE,TRUE
"6",1091000,"02:59:55","1",2014-03-21 02:59:55.042,NA,NA,NA,NA,NA,NA,NA,15.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,2,"Friday",12,0,FALSE,TRUE,TRUE
"7",16933,"03:00:00","1",2014-03-21 03:00:00,NA,NA,NA,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"8",39905,"03:12:27","1",2014-03-21 03:12:27.441,NA,NA,NA,NA,374.37900018692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"9",1101000,"03:12:27","1",2014-03-21 03:12:27.453,NA,NA,NA,NA,NA,NA,NA,82.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
"10",2334161,"03:13:49","1",2014-03-21 03:13:49.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.011,NA,2014-03-21,3,"Friday",12,0,FALSE,TRUE,TRUE
